Distance [mm],Br [],Br_1 [],Br_2 []
8.53905,-0.219189836,-0.087807082,-0.046595967
8.5579,-0.219634942,-0.087977062,-0.046668048
8.57675,-0.220068989,-0.088149518,-0.046740874
8.5956,-0.220491958,-0.088324482,-0.046814465
8.61445,-0.220903835,-0.088501985,-0.046888845
8.6333,-0.221304607,-0.088682054,-0.046964034
8.65215,-0.221694268,-0.088864718,-0.047040051
8.671,-0.222072813,-0.089050001,-0.047116915
8.68985,-0.222440242,-0.089237927,-0.047194643
8.7087,-0.222796559,-0.088242281,-0.047273251
8.72755,-0.22314177,-0.091354414,-0.047352754
8.7464,-0.223491758,-0.091462473,-0.047433166
8.76525,-0.22383152,-0.091572221,-0.047514499
8.7841,-0.224161807,-0.091683682,-0.047596766
8.80295,-0.22448261,-0.091796882,-0.047679976
8.8218,-0.224793924,-0.091911843,-0.047764138
8.84065,-0.225095746,-0.092104078,-0.047849262
8.8595,-0.225388077,-0.092177983,-0.047866479
8.87835,-0.225959872,-0.092254214,-0.047914322
8.8972,-0.226233429,-0.092332794,-0.04796286
8.91605,-0.226495703,-0.092413745,-0.048012107
8.9349,-0.226746675,-0.092497086,-0.047864344
8.95375,-0.226986329,-0.092582836,-0.047885578
8.9726,-0.227214654,-0.09267101,-0.047907089
8.99145,-0.227431639,-0.092761623,-0.047928898
9.0103,-0.227637279,-0.092854687,-0.047951027
9.02915,-0.227831573,-0.092950212,-0.047973495
9.048,-0.228014521,-0.093048207,-0.047996322
9.06685,-0.228186128,-0.093148678,-0.048019525
9.0857,-0.228346402,-0.093251631,-0.048043121
9.10455,-0.228495355,-0.093135962,-0.048067126
9.1234,-0.228633001,-0.093182602,-0.048091554
9.14225,-0.228759359,-0.09323128,-0.048116418
9.1611,-0.22887445,-0.093282007,-0.048141732
9.17995,-0.229108123,-0.093334793,-0.048167505
9.1988,-0.229207209,-0.093389646,-0.048193747
9.21765,-0.228824816,-0.093446572,-0.048220468
9.2365,-0.22897053,-0.093505575,-0.048247676
9.25535,-0.229104398,-0.093566657,-0.048275375
9.2742,-0.229226389,-0.093629819,-0.048303573
9.29305,-0.229336479,-0.09369506,-0.048332273
9.3119,-0.229434643,-0.093762377,-0.048361477
9.33075,-0.229520863,-0.093831766,-0.048482455
9.3496,-0.229595123,-0.093972325,-0.04846854
9.36845,-0.229657411,-0.094078853,-0.048454003
9.3873,-0.229707718,-0.094187089,-0.048438846
9.40615,-0.22974604,-0.094297009,-0.048423074
9.425,-0.229772375,-0.094408592,-0.048406686
9.44385,-0.229786724,-0.094036869,-0.048389682
9.4627,-0.229789093,-0.093955037,-0.048372063
9.48155,-0.229779492,-0.093874263,-0.048353827
9.5004,-0.229757931,-0.093794566,-0.048334969
9.51925,-0.228722681,-0.093715962,-0.048315487
9.5381,-0.228763929,-0.093638468,-0.048295376
9.55695,-0.228796631,-0.093562097,-0.048274629
9.5758,-0.228820759,-0.093486863,-0.04825324
9.59465,-0.228836286,-0.093412776,-0.048231201
9.6135,-0.228843189,-0.093339847,-0.048208502
9.63235,-0.228841447,-0.093268086,-0.048146143
9.6512,-0.228831042,-0.093197498,-0.04813043
9.67005,-0.228263235,-0.09312809,-0.048114334
9.6889,-0.2281691,-0.093059866,-0.04809785
9.70775,-0.228062807,-0.093583886,-0.048080974
9.7266,-0.227944342,-0.093397106,-0.0480637
9.74545,-0.227813693,-0.093212081,-0.048046021
9.7643,-0.227670853,-0.093028831,-0.048027929
9.78315,-0.227515818,-0.092847376,-0.048009414
9.802,-0.227348589,-0.093008848,-0.047990467
9.82085,-0.227169169,-0.092917103,-0.048173546
9.8397,-0.226977566,-0.092827066,-0.048078229
9.85855,-0.22677379,-0.092738722,-0.047983205
9.8774,-0.226557857,-0.092652058,-0.04788847
9.89625,-0.226329785,-0.092567057,-0.047794021
9.9151,-0.226089596,-0.092483703,-0.04769985
9.93395,-0.224291493,-0.092401976,-0.047605952
9.9528,-0.22409256,-0.09243665,-0.047512318
9.97165,-0.223978188,-0.092464244,-0.047418939
9.9905,-0.223789011,-0.092494834,-0.047325805
10.00935,-0.223587813,-0.091037571,-0.047232906
10.0282,-0.223374558,-0.09090271,-0.047140228
10.04705,-0.223149213,-0.090767962,-0.047047758
10.0659,-0.222911751,-0.090633306,-0.046955483
10.08475,-0.222662145,-0.090498717,-0.046863386
10.1036,-0.222400376,-0.090364171,-0.046771451
10.12245,-0.222126425,-0.090229643,-0.046679661
10.1413,-0.221840277,-0.090095104,-0.046587995
10.16015,-0.221541923,-0.089960529,-0.046496436
10.179,-0.221231356,-0.089825887,-0.046404961
10.19785,-0.220908572,-0.089691149,-0.046313548
10.2167,-0.220573571,-0.089556284,-0.046222176
10.23555,-0.220226359,-0.089421259,-0.046130818
10.2544,-0.219866942,-0.089286042,-0.046039451
10.27325,-0.219495333,-0.089150599,-0.045948048
10.2921,-0.219111545,-0.089014894,-0.045856582
10.31095,-0.218215858,-0.088878892,-0.045765024
10.3298,-0.217144967,-0.088742555,-0.045673345
10.34865,-0.216747625,-0.088605845,-0.045581516
10.3675,-0.219381689,-0.088468723,-0.045488866
10.38635,-0.218875019,-0.088331149,-0.045392989
10.4052,-0.218357609,-0.088462934,-0.045298156
10.42405,-0.217829462,-0.088208327,-0.045204344
10.4429,-0.21729058,-0.087954358,-0.045111529
10.46175,-0.21674097,-0.087701008,-0.045019684
10.4806,-0.216180643,-0.087448262,-0.044928783
10.49945,-0.215609611,-0.08736842,-0.044838797
10.5183,-0.215027891,-0.087210449,-0.044749699
10.53715,-0.2144355,-0.087053173,-0.044661458
10.556,-0.213832462,-0.086896545,-0.044574043
10.57485,-0.213218801,-0.086740518,-0.044487422
10.5937,-0.212594546,-0.086585044,-0.044401563
