Distance [mm],B_phi [],B_phi_1 [],B_phi_2 []
9.9905,-0.034028088,-0.02422237,-0.014384659
10.00935,-0.035130101,-0.023910654,-0.014881922
10.0282,-0.036229745,-0.024590896,-0.015378804
10.04705,-0.037327029,-0.025269885,-0.01587538
10.0659,-0.038421964,-0.025947739,-0.016371724
10.08475,-0.039514563,-0.026624577,-0.016867913
10.1036,-0.040604838,-0.027300516,-0.01736402
10.12245,-0.041692801,-0.027975678,-0.017860123
10.1413,-0.042778465,-0.028650179,-0.018356297
10.16015,-0.043861843,-0.02932414,-0.018852617
10.179,-0.04494295,-0.029997679,-0.019349161
10.19785,-0.046021798,-0.030670916,-0.019846005
10.2167,-0.047098402,-0.03134397,-0.020343225
10.23555,-0.048172776,-0.032016961,-0.020840901
10.2544,-0.049244934,-0.032690009,-0.021339107
10.27325,-0.050314889,-0.033363233,-0.021837924
10.2921,-0.051382655,-0.034036755,-0.022337429
10.31095,-0.052359611,-0.034710693,-0.022837701
10.3298,-0.052947161,-0.035385169,-0.023338819
10.34865,-0.054039471,-0.036060304,-0.023840863
10.3675,-0.054757042,-0.036736218,-0.024147604
10.38635,-0.055879758,-0.037413033,-0.024612642
10.4052,-0.056996279,-0.037687501,-0.025077398
10.42405,-0.058106634,-0.038426232,-0.025541946
10.4429,-0.059210854,-0.039163098,-0.026006362
10.46175,-0.060308969,-0.039898226,-0.026470721
10.4806,-0.06140101,-0.040631743,-0.026935099
10.49945,-0.062487012,-0.04179754,-0.027399571
10.5183,-0.063567007,-0.042560809,-0.027864212
10.53715,-0.064641029,-0.043324572,-0.028329095
10.556,-0.065709112,-0.044088954,-0.028794296
10.57485,-0.066771292,-0.044854084,-0.029259889
10.5937,-0.067827604,-0.045620087,-0.029725949
10.61255,-0.068878085,-0.046523268,-0.030192549
10.6314,-0.06992277,-0.047162074,-0.030659763
10.65025,-0.070961697,-0.04779866,-0.031127667
10.6691,-0.071994901,-0.048433147,-0.031596333
10.68795,-0.073022422,-0.049065658,-0.032065837
10.7068,-0.073712308,-0.049696317,-0.032536251
10.72565,-0.074670413,-0.050325247,-0.03300765
10.7445,-0.075621487,-0.05095257,-0.033480109
10.76335,-0.076355946,-0.051578411,-0.0339537
10.7822,-0.077428318,-0.052202894,-0.034428499
10.80105,-0.078494829,-0.052826144,-0.03490458
10.8199,-0.079555506,-0.053448285,-0.035382018
10.83875,-0.080610376,-0.054069442,-0.035749081
10.8576,-0.081659469,-0.054689742,-0.0361688
10.87645,-0.082702814,-0.055309309,-0.036588055
10.8953,-0.083740443,-0.05592827,-0.037006907
10.91415,-0.084772388,-0.056546753,-0.037425416
10.933,-0.08579868,-0.057164884,-0.037843645
10.95185,-0.086819353,-0.05778279,-0.038261655
10.9707,-0.087834441,-0.057831695,-0.038679507
10.98955,-0.088843978,-0.058513641,-0.039097266
11.0084,-0.089847999,-0.059211534,-0.039514992
11.02725,-0.09084654,-0.059907777,-0.039932751
11.0461,-0.091839636,-0.060602495,-0.040350606
11.06495,-0.092827325,-0.061295812,-0.04076862
11.0838,-0.093809642,-0.061987855,-0.04118686
11.10265,-0.095958087,-0.062678748,-0.04160539
11.1215,-0.096836938,-0.063368618,-0.042024277
